addressee,date,Month,DayOfMonth,Year,location
SPRING GROVE SCHOOL,NOVEMBER 12 1863,NOVEMBER,12,1863,letters/wikisource_vol1_ch1_letter1.html
CHARLES BAXTER,APRIL 9 1872,APRIL,9,1872,letters/wikisource_vol1_ch1_letter10.html
MRS. THOMAS STEVENSON,JULY 25 1872,JULY,25,1872,letters/wikisource_vol1_ch1_letter11.html
MRS. THOMAS STEVENSON,JULY 29 1872,JULY,29,1872,letters/wikisource_vol1_ch1_letter12.html
MRS. THOMAS STEVENSON,AUGUST 2 1872,AUGUST,2,1872,letters/wikisource_vol1_ch1_letter13.html
THOMAS STEVENSON,AUGUST 4 1872,AUGUST,4,1872,letters/wikisource_vol1_ch1_letter14.html
MRS. THOMAS STEVENSON,AUGUST 1872,AUGUST,,1872,letters/wikisource_vol1_ch1_letter15.html
CHARLES BAXTER,FEBRUARY 2 1873,FEBRUARY,2,1873,letters/wikisource_vol1_ch1_letter16.html
2 SULYARDE TERRACE,APRIL 1866,APRIL,,1866,letters/wikisource_vol1_ch1_letter2.html
MRS. THOMAS STEVENSON,SEPTEMBER 11 1868,SEPTEMBER,11,1868,letters/wikisource_vol1_ch1_letter3.html
MRS. THOMAS STEVENSON,SEPTEMBER 5 1868,SEPTEMBER,5,1868,letters/wikisource_vol1_ch1_letter4.html
MRS. THOMAS STEVENSON,SEPTEMBER 1868,SEPTEMBER,,1868,letters/wikisource_vol1_ch1_letter5.html
MRS. THOMAS STEVENSON,SEPTEMBER 1868,SEPTEMBER,,1868,letters/wikisource_vol1_ch1_letter6.html
MRS. CHURCHILL BABINGTON,SUMMER 1871,SUMMER,,1871,letters/wikisource_vol1_ch1_letter7.html
ALISON CUNNINGHAM,1871,,,1871,letters/wikisource_vol1_ch1_letter8.html
CHARLES BAXTER,MARCH 5 1872,MARCH,5,1872,letters/wikisource_vol1_ch1_letter9.html
MRS. THOMAS STEVENSON,JULY 28 1873,JULY,28,1873,letters/wikisource_vol1_ch2_letter1.html
MRS. THOMAS STEVENSON,JANUARY 7 1874,JANUARY,7,1874,letters/wikisource_vol1_ch2_letter10.html
MRS. SITWELL,JANUARY 13 1874,JANUARY,13,1874,letters/wikisource_vol1_ch2_letter11.html
MRS. SITWELL,JANUARY 1874,JANUARY,,1874,letters/wikisource_vol1_ch2_letter12.html
MRS. THOMAS STEVENSON,MARCH 28 1874,MARCH,28,1874,letters/wikisource_vol1_ch2_letter13.html
MRS. SITWELL,MAY 1874,MAY,,1874,letters/wikisource_vol1_ch2_letter14.html
MRS. SITWELL,MAY 1874,MAY,,1874,letters/wikisource_vol1_ch2_letter15.html
MRS. SITWELL,AUGUST 8 1874,AUGUST,8,1874,letters/wikisource_vol1_ch2_letter16.html
MRS. SITWELL,AUTUMN 1874,AUTUMN,,1874,letters/wikisource_vol1_ch2_letter17.html
MRS. SITWELL,DECEMBER 23 1874,DECEMBER,23,1874,letters/wikisource_vol1_ch2_letter18.html
SIDNEY COLVIN,JANUARY 1875,JANUARY,,1875,letters/wikisource_vol1_ch2_letter19.html
MRS. SITWELL,SEPTEMBER 6 1873,SEPTEMBER,6,1873,letters/wikisource_vol1_ch2_letter2.html
MRS. SITWELL,FEBRUARY 1875,FEBRUARY,,1875,letters/wikisource_vol1_ch2_letter20.html
SIDNEY COLVIN,FEBRUARY 8 1875,FEBRUARY,8,1875,letters/wikisource_vol1_ch2_letter21.html
MRS. SITWELL,APRIL 1875,APRIL,,1875,letters/wikisource_vol1_ch2_letter22.html
MRS. SITWELL,APRIL 1875,APRIL,,1875,letters/wikisource_vol1_ch2_letter23.html
MRS. SITWELL,APRIL 1875,APRIL,,1875,letters/wikisource_vol1_ch2_letter24.html
MRS. SITWELL,APRIL 1875,APRIL,,1875,letters/wikisource_vol1_ch2_letter25.html
MRS. SITWELL,JUNE 1875,JUNE,,1875,letters/wikisource_vol1_ch2_letter26.html
MRS. SITWELL,JUNE 1875,JUNE,,1875,letters/wikisource_vol1_ch2_letter27.html
MRS. SITWELL,SEPTEMBER 12 1873,SEPTEMBER,12,1873,letters/wikisource_vol1_ch2_letter3.html
MRS. SITWELL,SEPTEMBER 16 1873,SEPTEMBER,16,1873,letters/wikisource_vol1_ch2_letter4.html
MRS. SITWELL,OCTOBER 4 1873,OCTOBER,4,1873,letters/wikisource_vol1_ch2_letter5.html
MRS. SITWELL,OCTOBER 14 1873,OCTOBER,14,1873,letters/wikisource_vol1_ch2_letter6.html
